"contentId","youtubeVideoId","category","topic","title","hook","publishedAt","isPublished","daysSincePublished","durationSeconds","views","likes","comments","viewsPerDay","likeRate","commentRate","views1d","views3d","views7d","views30d","collectedAt"
"life-margin-r1-money-boundary-004","5yBIwzRLUao","family_relationships","adult_child_financial_support","자식에게 돈을 주기 전에 먼저 정해야 할 것","자식에게 돈을 주기 전
먼저 정해야 할 것","2026-09-20T12:30:00.000+09:00","true","4","29","370","3","0","84.51","0.008108","0.000000","370","370","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-retired-couple-003","jVRJr0SseHI","later_life","retired_couple_space","은퇴 후 부부가 하루 종일 붙어 있으면 힘든 이유","퇴직하면 더 가까워질 줄
알았습니다","2026-09-19T12:30:00.000+09:00","true","5","46","718","6","1","133.50","0.008357","0.001393","718","718","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-sibling-care-006","_TG8bCGIGak","family_relationships","sibling_parent_care","부모 병원비 앞에서 형제 사이가 멀어지는 이유","부모 병원비보다 먼저
서운했던 것이 있습니다","2026-09-22T12:30:00.000+09:00","true","2","54","448","9","2","188.38","0.020089","0.004464","448","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-tiring-friend-007","HZr4aeizFZA","relationships","tiring_old_friend","나이 들수록 만나고 나면 더 피곤한 친구가 있습니다","만나고 오면 더 피곤한
친구가 있나요","2026-09-23T12:30:00.000+09:00","true","1","28","126","2","0","91.43","0.015873","0.000000","126","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-visit-boundary-010","9d2iYwujxBI","family_relationships","adult_child_home_visit","자식 집에 갈 때 먼저 물어보면 달라지는 것","가족이라서 더
먼저 물어야 합니다","2026-09-26T12:30:00.000+09:00","false","0","28","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-friend-silence-006","jDV2LdngQX4","relationships","relationship_distance","친했던 사람이 어느 날 연락을 끊었습니다","친했던 사람이 어느 날
연락을 끊었습니다","2026-10-02T20:30:00.000+09:00","false","0","52","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-hurt-expectation-010","S21QX27GWL0","relationships","buddhism_relationship","가까운 사람에게 서운할수록 기억해야 할 것","가까운 사람에게 서운할수록
기억해야 할 것","2026-10-06T20:30:00.000+09:00","false","0","52","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-kind-letter-008","AHT1p38kw4w","later_life","self_sacrifice_regret","평생 남을 먼저 챙긴 당신에게","평생 남을 먼저 챙긴
당신에게","2026-10-04T20:30:00.000+09:00","false","0","43","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-kind-regret-list-007","RIij7MnlLZI","later_life","self_sacrifice_regret","평생 착하게 산 사람들이
나이 들어 후회하는 5가지","","2026-10-03T20:30:00.000+09:00","false","0","11","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-parent-choice-004","lrgOKfvl7t4","family_relationships","parent_child_communication","좋은 부모는 자식의 선택까지 대신하지 않습니다","좋은 부모는
자식의 선택까지 대신하지 않습니다","2026-09-30T20:30:00.000+09:00","false","0","25","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-parent-give-list-001","iujWKICKW0w","family_relationships","parent_child_boundaries","자식에게 미리 주지 말아야 할
5가지","","2026-09-27T20:30:00.000+09:00","false","0","10","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-parent-life-002","8nPCUeJm-U8","family_relationships","parent_child_boundaries","자식을 사랑해도 내 노후까지 줄 필요는 없습니다","자식을 사랑해도
내 노후까지 줄 필요는 없습니다","2026-09-28T20:30:00.000+09:00","false","0","26","1","0","0","0.00","0.000000","0.000000","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1v2-solitude-009","hyDUNf5P2ic","later_life","solitude_aging","나이가 들수록 혼자가 편해지는 이유","나이가 들수록
혼자가 편해지는 이유","2026-10-05T20:30:00.000+09:00","false","0","27","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-relationships-ending-001","zNIAJ8_eTH8","relationships","ending_relationships","끝난 인연을 억지로 붙잡지 않아도 됩니다","끝난 인연을
붙잡지 않아도 됩니다","2026-09-14T20:30:00.000+09:00","true","10","48","1317","20","0","131.11","0.015186","0.000000","1317","1317","1317","","2026-09-24T21:34:33.203+09:00"
"life-margin-relationships-explaining-001","Fqp_hVfou9g","relationships","stop_overexplaining","나이가 들수록 굳이 설명하지 않아도 되는 이유","나이가 들수록
설명하지 않아도 됩니다","2026-09-10T20:30:00.000+09:00","true","14","60","469","1","0","33.39","0.002132","0.000000","486","486","486","","2026-09-24T21:34:33.203+09:00"
"life-margin-relationships-no-contact-001","9O9UeYtdtME","relationships","no_contact","연락 없는 사람에게 서운해하지 않아도 되는 이유","연락 없는 사람에게
서운해하지 마세요","2026-09-16T12:30:00.000+09:00","true","8","55","1374","14","0","164.00","0.010189","0.000000","1374","1374","1374","","2026-09-24T21:34:33.203+09:00"
"life-margin-retirement-letting-go-001","4qT9_ty73xs","retirement","letting_go","60세 이후 마음에서 내려놓아야 할 것","60세 이후에는
이것부터 내려놓으세요","2026-09-13T20:30:00.000+09:00","true","11","49","597","6","0","54.05","0.010050","0.000000","597","597","597","","2026-09-24T21:34:33.203+09:00"
"life-margin-solitude-comfort-001","oYrqfdVJxaU","solitude","comfortable_solitude","혼자 있는 시간이 편안해지는 나이","혼자 있는 시간이
편안해지는 나이","2026-09-15T20:30:00.000+09:00","true","9","51","660","11","0","72.97","0.016667","0.000000","660","660","660","","2026-09-24T21:34:33.203+09:00"
